dimension,unique_value,metric,best_model,best_score,runner_up,runner_up_score
Ablation_n_qubits,6,acc,VQC,0.8791,QCNN,0.7398
Ablation_n_qubits,4,acc,VQC,0.8772,QCNN,0.7924
Ablation_n_qubits,8,acc,VQC,0.8723,QCNN,0.7573
Ablation_n_qubits,2,acc,VQC,0.8674,QCNN,0.8304
Ablation_n_qubits,2,auc,VQC,0.9289,QCNN,0.8851
Ablation_n_qubits,4,auc,VQC,0.9229,QCNN,0.7787
Ablation_n_qubits,6,auc,VQC,0.9209,QCNN,0.7987
Ablation_n_qubits,8,auc,VQC,0.9201,QCNN,0.7931
Ablation_reps,1,acc,VQC,0.874,QCNN,0.78
Ablation_reps,2,acc,VQC,0.874,QCNN,0.78
Ablation_reps,3,acc,VQC,0.874,QCNN,0.78
Ablation_reps,1,auc,VQC,0.9232,QCNN,0.8139
Ablation_reps,2,auc,VQC,0.9232,QCNN,0.8139
Ablation_reps,3,auc,VQC,0.9232,QCNN,0.8139
Ablation_shots,256,acc,VQC,0.8757,QCNN,0.78
Ablation_shots,1024,acc,VQC,0.8743,QCNN,0.78
Ablation_shots,64,acc,VQC,0.8721,QCNN,0.78
Ablation_shots,1024,auc,VQC,0.9243,QCNN,0.8139
Ablation_shots,64,auc,VQC,0.9228,QCNN,0.8139
Ablation_shots,256,auc,VQC,0.9225,QCNN,0.8139
ExtAblation_encoder,pauli,acc,VQC,0.941,QAOA_VQC,0.9254
ExtAblation_encoder,zz,acc,QAOA_VQC,0.9196,VQC,0.8664
ExtAblation_encoder,zz,auc,QAOA_VQC,0.9693,VQC,0.9206
ExtAblation_encoder,pauli,auc,QAOA_VQC,0.9645,VQC,0.9621
ExtAblation_encoder,pauli,cv_mean,VQC,0.9316,QAOA_VQC,0.9163
ExtAblation_encoder,zz,cv_mean,QAOA_VQC,0.9125,VQC,0.8399
ExtAblation_n_qubits,8,acc,QAOA_VQC,0.9302,VQC,0.8988
ExtAblation_n_qubits,6,acc,QAOA_VQC,0.9218,VQC,0.9006
ExtAblation_n_qubits,4,acc,QAOA_VQC,0.9214,VQC,0.9115
ExtAblation_n_qubits,2,acc,QAOA_VQC,0.9167,VQC,0.9039
ExtAblation_n_qubits,8,auc,QAOA_VQC,0.9735,VQC,0.9363
ExtAblation_n_qubits,4,auc,QAOA_VQC,0.9731,VQC,0.9392
ExtAblation_n_qubits,6,auc,QAOA_VQC,0.966,VQC,0.9363
ExtAblation_n_qubits,2,auc,QAOA_VQC,0.9551,VQC,0.9535
ExtAblation_n_qubits,6,cv_mean,QAOA_VQC,0.9183,VQC,0.8878
ExtAblation_n_qubits,8,cv_mean,QAOA_VQC,0.9167,VQC,0.8915
ExtAblation_n_qubits,4,cv_mean,QAOA_VQC,0.9137,VQC,0.8883
ExtAblation_n_qubits,2,cv_mean,QAOA_VQC,0.9088,VQC,0.8754
ExtAblation_reps,1,acc,QAOA_VQC,0.9225,VQC,0.9037
ExtAblation_reps,2,acc,QAOA_VQC,0.9225,VQC,0.9037
ExtAblation_reps,3,acc,QAOA_VQC,0.9225,VQC,0.9037
ExtAblation_reps,1,auc,QAOA_VQC,0.9669,VQC,0.9413
ExtAblation_reps,2,auc,QAOA_VQC,0.9669,VQC,0.9413
ExtAblation_reps,3,auc,QAOA_VQC,0.9669,VQC,0.9413
ExtAblation_reps,1,cv_mean,QAOA_VQC,0.9144,VQC,0.8858
