dimension,unique_value,metric,best_model,best_score,runner_up,runner_up_score
Ablation_n_qubits,2,acc,QCNN,0.7667,VQC,0.6593
Ablation_n_qubits,4,acc,VQC,0.7111,QCNN,0.6778
Ablation_n_qubits,6,acc,VQC,0.7111,QCNN,0.4556
Ablation_n_qubits,8,acc,VQC,0.7093,QCNN,0.4167
Ablation_n_qubits,2,auc,VQC,0.8082,QCNN,0.7861
Ablation_n_qubits,8,auc,VQC,0.797,QCNN,0.5479
Ablation_n_qubits,6,auc,VQC,0.7548,QCNN,0.5839
Ablation_n_qubits,4,auc,VQC,0.743,QCNN,0.6237
Ablation_reps,1,acc,VQC,0.6977,QCNN,0.5792
Ablation_reps,2,acc,VQC,0.6977,QCNN,0.5792
Ablation_reps,3,acc,VQC,0.6977,QCNN,0.5792
Ablation_reps,1,auc,VQC,0.7757,QCNN,0.6354
Ablation_reps,2,auc,VQC,0.7757,QCNN,0.6354
Ablation_reps,3,auc,VQC,0.7757,QCNN,0.6354
Ablation_shots,64,acc,VQC,0.7014,QCNN,0.5792
Ablation_shots,256,acc,VQC,0.7,QCNN,0.5792
Ablation_shots,1024,acc,VQC,0.6917,QCNN,0.5792
Ablation_shots,1024,auc,VQC,0.7763,QCNN,0.6354
Ablation_shots,64,auc,VQC,0.7755,QCNN,0.6354
Ablation_shots,256,auc,VQC,0.7755,QCNN,0.6354
ExtAblation_encoder,pauli,acc,VQC,0.7837,QAOA_VQC,0.7444
ExtAblation_encoder,zz,acc,QAOA_VQC,0.7691,VQC,0.692
ExtAblation_encoder,pauli,auc,VQC,0.8394,QAOA_VQC,0.7948
ExtAblation_encoder,zz,auc,QAOA_VQC,0.8216,VQC,0.7729
ExtAblation_n_qubits,4,acc,QAOA_VQC,0.7819,VQC,0.7528
ExtAblation_n_qubits,8,acc,QAOA_VQC,0.7701,VQC,0.7465
ExtAblation_n_qubits,6,acc,QAOA_VQC,0.7576,VQC,0.7535
ExtAblation_n_qubits,2,acc,QAOA_VQC,0.7174,VQC,0.6986
ExtAblation_n_qubits,4,auc,QAOA_VQC,0.8249,VQC,0.7932
ExtAblation_n_qubits,8,auc,VQC,0.8178,QAOA_VQC,0.8171
ExtAblation_n_qubits,2,auc,VQC,0.8146,QAOA_VQC,0.7796
ExtAblation_n_qubits,6,auc,QAOA_VQC,0.8111,VQC,0.7992
ExtAblation_reps,1,acc,QAOA_VQC,0.7568,VQC,0.7378
ExtAblation_reps,2,acc,QAOA_VQC,0.7568,VQC,0.7378
ExtAblation_reps,3,acc,QAOA_VQC,0.7568,VQC,0.7378
ExtAblation_reps,1,auc,QAOA_VQC,0.8082,VQC,0.8062
ExtAblation_reps,2,auc,QAOA_VQC,0.8082,VQC,0.8062
ExtAblation_reps,3,auc,QAOA_VQC,0.8082,VQC,0.8062
ExtAblation_shots,64,acc,QAOA_VQC,0.7708,VQC,0.7347
ExtAblation_shots,256,acc,QAOA_VQC,0.7632,VQC,0.7368
ExtAblation_shots,512,acc,QAOA_VQC,0.7521,VQC,0.7403
ExtAblation_shots,1024,acc,QAOA_VQC,0.741,VQC,0.7396
ExtAblation_shots,64,auc,QAOA_VQC,0.8196,VQC,0.8074
ExtAblation_shots,256,auc,QAOA_VQC,0.8093,VQC,0.8058
ExtAblation_shots,512,auc,VQC,0.8061,QAOA_VQC,0.8035
ExtAblation_shots,1024,auc,VQC,0.8054,QAOA_VQC,0.8003
InputSizeConfig,12-Full,acc,RF,0.85,MLP,0.8111
InputSizeConfig,5-Relevant,acc,RF,0.8444,SVM_RBF,0.8222
InputSizeConfig,4-PCA,acc,LR,0.8278,QResNet,0.8111
InputSizeConfig,6-PCA,acc,LR,0.8278,QResNet,0.8278
InputSizeConfig,12-Full,auc,RF,0.9144,MLP,0.8695
InputSizeConfig,5-Relevant,auc,RF,0.9108,QKernel_SVM,0.8917
InputSizeConfig,6-PCA,auc,MLP,0.8648,LR,0.8592
InputSizeConfig,4-PCA,auc,LR,0.8596,QResNet,0.8571
NoiseConfig,bitflip_p0.01,acc,QAOA_VQC,0.8233,QResNet,0.82
NoiseConfig,depolarizing_p0.03,acc,QResNet,0.82,QAOA_VQC,0.8033
NoiseConfig,amplitude_damping_p0.02,acc,QAOA_VQC,0.8133,QResNet,0.8033
NoiseConfig,amplitude_damping_p0.05,acc,QAOA_VQC,0.8133,QResNet,0.8033
NoiseConfig,depolarizing_p0.01,acc,QAOA_VQC,0.8133,QResNet,0.8067
NoiseConfig,depolarizing_p0.05,acc,QAOA_VQC,0.8133,QResNet,0.8133
NoiseConfig,gaussian_p0.01,acc,QAOA_VQC,0.81,QResNet,0.8
NoiseConfig,gaussian_p0.05,acc,QAOA_VQC,0.81,QResNet,0.8067
NoiseConfig,bitflip_p0.05,acc,QResNet,0.8033,QAOA_VQC,0.8
NoiseConfig,depolarizing_p0.03,auc,QResNet,0.8632,QAOA_VQC,0.8557
