model,Accuracy,AUC,F1,MCC,Sensitivity,Specificity,CV_Accuracy,Train_Time_s,Significance,Category
RF,0.853±0.036,0.919±0.023,0.784±0.053,0.678±0.081,0.842±0.064,0.859±0.032,0.878±0.008,0.219,ref,Classical
MLP,0.803±0.046,0.880±0.025,0.718±0.042,0.580±0.077,0.779±0.069,0.815±0.089,0.780±0.014,0.039,***,Classical
SVM_RBF,0.793±0.045,0.871±0.040,0.678±0.080,0.528±0.111,0.695±0.114,0.839±0.033,0.828±0.012,0.011,**,Classical
LR,0.780±0.056,0.879±0.041,0.680±0.077,0.521±0.122,0.737±0.098,0.800±0.063,0.812±0.015,0.004,***,Classical
QResNet,0.800±0.020,0.860±0.028,0.711±0.019,0.571±0.023,0.779±0.094,0.810±0.068,0.802±0.022,0.010,**,Hybrid
HybridNet,0.767±0.031,0.789±0.054,0.644±0.072,0.484±0.069,0.684±0.153,0.805±0.079,0.707±0.036,0.036,***,Hybrid
QuantumBoost,0.750±0.041,0.790±0.029,0.628±0.052,0.443±0.083,0.663±0.047,0.790±0.048,0.770±0.029,0.205,**,Hybrid
QAOA_VQC,0.813±0.022,0.852±0.042,0.726±0.047,0.593±0.070,0.789±0.105,0.824±0.027,0.793±0.026,0.174,**,Quantum
QKernel_SVM,0.780±0.036,0.847±0.024,0.682±0.036,0.530±0.061,0.747±0.120,0.795±0.092,0.768±0.022,0.006,***,Quantum
VQC,0.707±0.066,0.762±0.084,0.583±0.069,0.366±0.115,0.642±0.069,0.737±0.092,0.694±0.056,0.059,**,Quantum
QCNN,0.680±0.014,0.546±0.155,0.036±0.081,-0.001±0.107,0.021±0.047,0.985±0.013,0.495±0.043,0.121,***,Quantum
