dimension,unique_value,metric,best_model,best_score,runner_up,runner_up_score
Ablation_n_qubits,2,mae,NumpyVQC,32.1734,NumpyQCNN,136.9775
Ablation_n_qubits,4,mae,NumpyVQC,30.0471,NumpyQCNN,227.2061
Ablation_n_qubits,6,mae,NumpyVQC,29.1159,NumpyQCNN,173.1707
Ablation_n_qubits,8,mae,NumpyVQC,28.0562,NumpyQCNN,290.4539
Ablation_n_qubits,2,r2,NumpyVQC,0.9672,NumpyQCNN,0.4426
Ablation_n_qubits,4,r2,NumpyVQC,0.972,NumpyQCNN,-6.4351
Ablation_n_qubits,6,r2,NumpyVQC,0.9722,NumpyQCNN,-5.864
Ablation_n_qubits,8,r2,NumpyVQC,0.9753,NumpyQCNN,-90.7423
Ablation_reps,1,mae,NumpyVQC,29.8482,NumpyQCNN,210.0231
Ablation_reps,2,mae,NumpyVQC,29.8482,NumpyQCNN,210.0231
Ablation_reps,3,mae,NumpyVQC,29.8482,NumpyQCNN,210.0231
Ablation_reps,1,r2,NumpyVQC,0.9717,NumpyQCNN,-27.4484
Ablation_reps,2,r2,NumpyVQC,0.9717,NumpyQCNN,-27.4484
Ablation_reps,3,r2,NumpyVQC,0.9717,NumpyQCNN,-27.4484
Ablation_shots,64,mae,NumpyVQC,29.8482,NumpyQCNN,210.0231
Ablation_shots,256,mae,NumpyVQC,29.8482,NumpyQCNN,210.0231
Ablation_shots,1024,mae,NumpyVQC,29.8482,NumpyQCNN,210.0231
Ablation_shots,64,r2,NumpyVQC,0.9717,NumpyQCNN,-27.4484
Ablation_shots,256,r2,NumpyVQC,0.9717,NumpyQCNN,-27.4484
Ablation_shots,1024,r2,NumpyVQC,0.9717,NumpyQCNN,-27.4484
ExtAblation_encoder,pauli,mae,NumpyVQC,115.6553,NumpyQCNN,208.2208
ExtAblation_encoder,zz,mae,NumpyVQC,34.4998,NumpyQCNN,208.2208
ExtAblation_encoder,pauli,r2,NumpyVQC,0.4423,NumpyQCNN,-16.3185
ExtAblation_encoder,zz,r2,NumpyVQC,0.9594,NumpyQCNN,-16.3185
ExtAblation_n_qubits,2,mae,NumpyVQC,37.0362,NumpyQCNN,147.1335
ExtAblation_n_qubits,4,mae,NumpyVQC,69.6174,NumpyQCNN,202.9417
